Time (EET),Open,High,Low,Close,Volume 
2010.07.16 22:15:00,1.29396,1.29448,1.29355,1.29368,764
2010.07.16 22:30:00,1.29359,1.29387,1.29292,1.29324,609.8
2010.07.16 22:45:00,1.29323,1.29337,1.29205,1.29267,658.5
2010.07.16 23:00:00,1.29251,1.29301,1.29223,1.29276,723.9
2010.07.16 23:15:00,1.29281,1.29298,1.29203,1.29237,899
2010.07.16 23:30:00,1.2923,1.29287,1.29199,1.29256,705.1
2010.07.16 23:45:00,1.29253,1.29321,1.2922,1.29293,991.4
2010.07.19 00:00:00,1.29239,1.29239,1.29012,1.29032,919.9
2010.07.19 00:15:00,1.2904,1.29085,1.28963,1.28968,509
2010.07.19 00:30:00,1.28972,1.28977,1.28889,1.28908,494.2
2010.07.19 00:45:00,1.28905,1.28989,1.28868,1.28989,623.1
2010.07.19 01:00:00,1.29002,1.29095,1.28938,1.29029,514.9
2010.07.19 01:15:00,1.29034,1.29175,1.2901,1.29106,473.1
2010.07.19 01:30:00,1.29094,1.29181,1.29091,1.29169,490.5
2010.07.19 01:45:00,1.29171,1.29178,1.28977,1.28991,632.9
2010.07.19 02:00:00,1.28981,1.29139,1.28973,1.29122,658.9
2010.07.19 02:15:00,1.29109,1.29135,1.29025,1.2905,577.4
2010.07.19 02:30:00,1.29046,1.29066,1.28905,1.28945,565.1
2010.07.19 02:45:00,1.28942,1.28967,1.28871,1.28888,545.8
2010.07.19 03:00:00,1.28892,1.28939,1.28878,1.28902,344.6
2010.07.19 03:15:00,1.28899,1.28931,1.28843,1.28884,345.7
2010.07.19 03:30:00,1.28864,1.28926,1.28809,1.28835,362.4
2010.07.19 03:45:00,1.2882,1.28901,1.2881,1.28895,387.5
2010.07.19 04:00:00,1.28903,1.29123,1.28882,1.29079,459.2
2010.07.19 04:15:00,1.29067,1.29132,1.2904,1.29079,367.2
2010.07.19 04:30:00,1.29072,1.29085,1.28957,1.28963,356.4
2010.07.19 04:45:00,1.28968,1.2901,1.28911,1.28979,390.9
2010.07.19 05:00:00,1.28975,1.2907,1.28943,1.29067,1079.7
2010.07.19 05:15:00,1.29068,1.29139,1.29009,1.29048,931.7
2010.07.19 05:30:00,1.2902,1.29145,1.29016,1.29104,652.8
2010.07.19 05:45:00,1.29091,1.2921,1.29076,1.29115,787.8
2010.07.19 06:00:00,1.29107,1.2914,1.29032,1.29105,1023.4
2010.07.19 06:15:00,1.29102,1.29132,1.29051,1.29094,636.9
2010.07.19 06:30:00,1.29084,1.29105,1.29021,1.29045,1084
2010.07.19 06:45:00,1.29053,1.29088,1.28982,1.29014,1014.6
2010.07.19 07:00:00,1.29019,1.29076,1.28987,1.29034,856.4
2010.07.19 07:15:00,1.29038,1.2911,1.29002,1.29055,905.3
2010.07.19 07:30:00,1.29051,1.29095,1.28995,1.2904,779.1
2010.07.19 07:45:00,1.29051,1.29067,1.28986,1.29011,625.7
2010.07.19 08:00:00,1.29026,1.29057,1.28933,1.28991,763
2010.07.19 08:15:00,1.28979,1.29096,1.28957,1.29073,665.3
2010.07.19 08:30:00,1.29053,1.29117,1.28994,1.29011,851.8
2010.07.19 08:45:00,1.29023,1.29068,1.28975,1.29052,826.3
2010.07.19 09:00:00,1.29042,1.29136,1.28889,1.289,863.4
